Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Rangers v Gothenburg 27 August 1997,Gothenburg,Champions League,Ibrox Stadium,Home,27,August,1997,1997 - 98,1-1,Draw,B Heynemann (Germany),45585,Walter Smith,Andy Goram,Staale Stensaas,Sergio Porrini,Joachim Bjorklund,Jonas Thern,Paul Gascoigne,Marco Negri,Ian Ferguson,Ally McCoist,Craig Moore,Charlie Miller,Brian Laudrup,Gordon Durie,Jorge Albertz,,,,,,,,
Morton v Rangers 5 September 1997,Morton,Challenge Match,Cappielow Park  (Greenock),Away,5,September,1997,1997 - 98,2-0,Win,J Herald (Newton Mearns),3500,Walter Smith,Theo Snelders,Alec Cleland,Tony Vidmar,Stuart McCall,Gordan Petric,Rino Gattuso,Stephen Wright,Gary Bollan,Steven Boyack,Ian Durrant,Peter Van Vossen,Barry Nicholson,Peter MacDonald,Maurice Ross,Stephen Carson,,,,,,,
Rangers v Dundee Utd 9 September 1997,Dundee Utd,League Cup,Ibrox Stadium,Home,9,September,1997,1997 - 98,0-1,Lose,S Dougal (Burnside),44440,Walter Smith,Andy Goram,Alec Cleland,Staale Stensaas,Sergio Porrini,Craig Moore,Tony Vidmar,Charlie Miller,Ian Ferguson,Marco Negri,Jorge Albertz,Rino Gattuso,Peter Van Vossen,Ally McCoist,Stuart McCall,,,,,,,,
Rangers v Aberdeen 13 September 1997,Aberdeen,League,Ibrox Stadium,Home,13,September,1997,1997 - 98,3-3,Draw,H Dallas (Bonkle),50030,Walter Smith,Theo Snelders,Alec Cleland,Staale Stensaas,Sergio Porrini,Craig Moore,Tony Vidmar,Rino Gattuso,Paul Gascoigne,Marco Negri,Ian Ferguson,Brian Laudrup,Jorge Albertz,Charlie Miller,Ally McCoist,,,,,,,,
Strasbourg v Rangers 16 September 1997,Strasbourg,UEFA Cup,Stade De La Meinau,Away,16,September,1997,1997 - 98,1-2,Lose,Mario Trentalange (Italy),12450,Walter Smith,Theo Snelders,Sergio Porrini,Gordan Petric,Joachim Bjorklund,Tony Vidmar,Rino Gattuso,Stuart McCall,Paul Gascoigne,Jorge Albertz,Gordon Durie,Brian Laudrup,Eric Bo Andersen,Charlie Miller,,,,,,,,,
St Johnstone v Rangers 20 September 1997,St Johnstone,League,McDiarmid Park,Away,20,September,1997,1997 - 98,2-0,Win,W Young (Clarkston),10093,Walter Smith,Theo Snelders,Alec Cleland,Staale Stensaas,Sergio Porrini,Tony Vidmar,Joachim Bjorklund,Rino Gattuso,Stuart McCall,Marco Negri,Jorge Albertz,Brian Laudrup,Paul Gascoigne,Gordon Durie,,,,,,,,,
Kilmarnock v Rangers 24 September 1997,Kilmarnock,League,Rugby Park,Away,24,September,1997,1997 - 98,3-0,Win,J Herald (Newton Mearns),15367,Walter Smith,Theo Snelders,Alec Cleland,Staale Stensaas,Sergio Porrini,Tony Vidmar,Joachim Bjorklund,Rino Gattuso,Stuart McCall,Marco Negri,Jorge Albertz,Brian Laudrup,Paul Gascoigne,,,,,,,,,,
Rangers v Motherwell 27 September 1997,Motherwell,League,Ibrox Stadium,Home,27,September,1997,1997 - 98,2-2,Draw,J McCluskey (Stewarton),48672,Walter Smith,Andy Goram,Alec Cleland,Staale Stensaas,Sergio Porrini,Tony Vidmar,Joachim Bjorklund,Rino Gattuso,Paul Gascoigne,Marco Negri,Charlie Miller,Brian Laudrup,Gordon Durie,Jorge Albertz,Ally McCoist,,,,,,,,
Rangers v Strasbourg 30 September 1997,Strasbourg,UEFA Cup,Ibrox Stadium,Home,30,September,1997,1997 - 98,1-2,Lose,Fritz Stuchlik (Austria),40145,Walter Smith,Andy Goram,Alec Cleland,Staale Stensaas,Sergio Porrini,Joachim Bjorklund,Stuart McCall,Paul Gascoigne,Rino Gattuso,Gordon Durie,Marco Negri,Brian Laudrup,Charlie Miller,Eric Bo Andersen,Jonathon Johansson,,,,,,,,
Hibs v Rangers 4 October 1997,Hibs,League,Easter Road,Away,4,October,1997,1997 - 98,4-3,Win,R Tait (East Kilbride),15169,Walter Smith,Theo Snelders,Alec Cleland,Staale Stensaas,Sergio Porrini,Gordan Petric,Tony Vidmar,Charlie Miller,Paul Gascoigne,Marco Negri,Jorge Albertz,Rino Gattuso,Stuart McCall,Gordon Durie,,,,,,,,,
Inverness C.T. v Rangers 7 October 1997,Inverness C.T.,Challenge Match,Caledonian Stadium,Away,7,October,1997,1997 - 98,4-3,Win,K Bisset (Inverness),4336,Walter Smith,Michael Rae,Stephen Wright,Gary Bollan,Stuart McCall,Gordan Petric,Barry Nicholson,Staale Stensaas,Alec Cleland,Peter Van Vossen,Ian Durrant,Steven Boyack,Scott Wilson,Darren Fitzgerald,,,,,,,,,
