Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Hamilton Accies v Rangers 17 April 1905,Hamilton Accies,Challenge Match,Away,17,April,1905,1904-05,2-1,Win,Tom Sinclair,Alex Fraser,Robert McEwan,George Henderson,John Wylie,Alec Craig,Tommy Low,Archie Kyle,John Chalmers,Finlay Speedie,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 19 April 1905,Third Lanark,Glasgow League,Away,19,April,1905,1904-05,4-1,Win,Tom Sinclair,Alex Fraser,Duncan Campbell,Adam Gourlay,James Stark,Alec Craig,George Chapman,Finlay Speedie,Robert S McColl,Archie Kyle,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 22 April 1905,Partick Thistle,Glasgow League,Home,22,April,1905,1904-05,3-4,Lose,Tom Sinclair,Unknown or TBC,Alec Craig,Adam Gourlay,James Stark,John Robertson,Tommy Low,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 24 April 1905,Queen's Park,Glasgow League,Home,24,April,1905,1904-05,3-2,Win,Tom Sinclair,Alex Fraser,Robert McEwan,George Henderson,James Stark,Adam Gourlay,John Chalmers,Daniel Steel,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morton v Rangers 29 April 1905,Morton,League,Away,29,April,1905,1904-05,2-0,Win,Tom Sinclair,Alex Fraser,Alec Craig,John May,James Stark,John Robertson,John Chalmers,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 3 May 1905,Third Lanark,Glasgow League,Home,3,May,1905,1904-05,0-0,Draw,Tom Sinclair,Andrew Easton,Duncan Campbell,Adam Gourlay,Unknown or TBC,John May,Daniel Steel,Finlay Speedie,Robert S McColl,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 6 May 1905,Celtic,League,Neutral,6,May,1905,1904-05,1-2,Lose,Tom Sinclair,Alex Fraser,Alec Craig,Adam Gourlay,James Stark,John May,John Robertson,Finlay Speedie,Robert S McColl,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 8 May 1905,Queen's Park,Glasgow League,Away,8,May,1905,1904-05,2-0,Win,Carl Pekarna,Duncan Campbell,Robert McEwan,George Henderson,James Stark,John May,Tommy Low,Finlay Speedie,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 9 May 1905,St Mirren,Challenge Match,Away,9,May,1905,1904-05,0-3,Lose,Tom Sinclair,Robert McEwan,Alec Craig,James Stark,John Wylie,Unknown or TBC,George Henderson,Daniel Steel,John Chalmers,Jock Drummond,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 13 May 1905,Celtic,Glasgow League,Away,13,May,1905,1904-05,2-0,Win,Tom Sinclair,Alex Fraser,Alec Craig,George Henderson,James Stark,John May,Tommy Low,Daniel Steel,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 15 May 1905,Partick Thistle,Glasgow Merchants Charity Cup,Away,15,May,1905,1904-05,0-5,Lose,Tom Sinclair,Alex Fraser,Robert McEwan,George Henderson,Alec Craig,John May,Tommy Low,Daniel Steel,Robert S McColl,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 16 August 1905,Hibs,Challenge Match,Home,16,August,1905,1905-06,0-1,Lose,Tom Sinclair,Alex Fraser,Alec Craig,Josiah Gray,James Stark,John May,Robert Dalrymple,Robert Hamilton,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 19 August 1905,Kilmarnock,League,Home,19,August,1905,1905-06,3-2,Win,Tom Sinclair,Alex Fraser,Adam Gourlay,Josiah Gray,James Stark,John May,Robert Dalrymple,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 21 August 1905,Hearts,Challenge Match,Away,21,August,1905,1905-06,2-3,Lose,Tom Sinclair,James Croal,Andrew Cochrane,Josiah Gray,James Stark,John May,Robert Dalrymple,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthurlie v Rangers 22 August 1905,Arthurlie,Challenge Match,Away,22,August,1905,1905-06,1-3,Lose,Tom Sinclair,James Croal,John Watson,Josiah Gray,Melville,John May,Blackadder,John McFie,Jimmy Spiers,Archie Kyle,Hutchison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Aberdeen 26 August 1905,Aberdeen,League,Home,26,August,1905,1905-06,1-0,Win,Tom Sinclair,James Croal,Andrew Cochrane,David McMillan,James Stark,Josiah Gray,Robert Dalrymple,Robert S McColl,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 30 August 1905,Dundee,Challenge Match,Away,30,August,1905,1905-06,5-1,Win,Tom Sinclair,John Walker,Andrew Cochrane,Josiah Gray,James Stark,John May,Tommy Low,Daniel Steel,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 2 September 1905,Airdrie,League,Away,2,September,1905,1905-06,1-5,Lose,Tom Sinclair,James Croal,Andrew Cochrane,Daniel Steel,James Stark,John May,Robert Dalrymple,Robert S McColl,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 4 September 1905,Celtic,Challenge Match,Away,4,September,1905,1905-06,0-1,Lose,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Jimmy Speirs,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde v Rangers 9 September 1905,Clyde,Glasgow Cup,Away,9,September,1905,1905-06,0-0,Draw,Tom Sinclair,Andrew Cochrane,Alec Craig,Josiah Gray,James Stark,John May,Robert Dalrymple,Robert S McColl,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 11 September 1905,Hibs,League,Away,11,September,1905,1905-06,2-1,Win,Tom Sinclair,Andrew Cochrane,Alec Craig,David McMillan,James Stark,John May,Tommy Low,Robert Hamilton,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 16 September 1905,St Mirren,League,Home,16,September,1905,1905-06,1-0,Win,Tom Sinclair,Andrew Cochrane,Alec Craig,Josiah Gray,James Stark,John May,Robert Dalrymple,Robert Hamilton,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 23 September 1905,Clyde,Glasgow Cup,Home,23,September,1905,1905-06,2-1,Win,Tom Sinclair,Andrew Cochrane,Alec Craig,Josiah Gray,James Stark,John May,Robert Dalrymple,John McFie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 25 September 1905,Hearts,League,Home,25,September,1905,1905-06,0-5,Lose,Tom Sinclair,Andrew Cochrane,Alec Craig,Josiah Gray,James Stark,John May,Tommy Low,Daniel Steel,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 30 September 1905,Third Lanark,Glasgow Cup,Away,30,September,1905,1905-06,1-3,Lose,Tom Sinclair,Andrew Cochrane,Alec Craig,Josiah Gray,James Stark,John May,Robert Dalrymple,John McFie,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Glasgow Athletic v Rangers 7 October 1905,Port Glasgow Athletic,League,Away,7,October,1905,1905-06,4-1,Win,Tom Sinclair,Andrew Cochrane,John Walker,Josiah Gray,James Stark,John May,Alex Speirs,John McFie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 14 October 1905,Dundee,League,Home,14,October,1905,1905-06,1-1,Draw,Tom Sinclair,Andrew Cochrane,John Walker,Josiah Gray,James Stark,John May,Hugh Shaw,John McFie,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 21 October 1905,Celtic,League,Home,21,October,1905,1905-06,3-2,Win,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Hugh Shaw,Alex Speirs,Thomas Ruddiman,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk v Rangers 28 October 1905,Falkirk,League,Away,28,October,1905,1905-06,6-1,Win,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Hugh Shaw,Alex Speirs,Thomas Ruddiman,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 4 November 1905,Queen's Park,League,Away,4,November,1905,1905-06,2-1,Win,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Hugh Shaw,Alex Speirs,Thomas Ruddiman,Robert C. Hamilton,Archie Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 11 November 1905,Third Lanark,League,Home,11,November,1905,1905-06,2-4,Lose,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Hugh Shaw,Alex Speirs,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 18 November 1905,Motherwell,League,Away,18,November,1905,1905-06,3-3,Draw,Tom Sinclair,Andrew Cochrane,Alec Craig,James Stark,Josiah Gray,William Kivlichan,Robert Dalrymple,Adam Gourlay,Robert C. Hamilton,Archie Kyle,Alex Speirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Morton 25 November 1905,Morton,League,Home,25,November,1905,1905-06,1-2,Lose,Tom Sinclair,Andrew Cochrane,Alec Craig,Adam Gourlay,James Stark,Josiah Gray,Hugh Shaw,Alex Speirs,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 2 December 1905,Queen's Park,League,Home,2,December,1905,1905-06,3-1,Win,Tom Sinclair,Andrew Cochrane,Alec Craig,Josiah Gray,James Stark,John May,Robert C. Hamilton,Robert Dalrymple,William Kivlichan,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morton v Rangers 9 December 1905,Morton,League,Away,9,December,1905,1905-06,3-0,Win,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Alex Speirs,William Kivlichan,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen v Rangers 16 December 1905,Aberdeen,League,Away,16,December,1905,1905-06,1-1,Draw,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Johnny Rankine,William Kivlichan,Thomas Ruddiman,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 23 December 1905,Motherwell,League,Home,23,December,1905,1905-06,2-1,Win,Tom Sinclair,James Croal,Alec Craig,Josiah Gray,James Stark,John May,Johnny Rankine,Alex Speirs,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn Rovers v Rangers 25 December 1905,Blackburn Rovers,Challenge Match,Away,25,December,1905,1905-06,1-4,Lose,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Hugh Shaw,Jimmy Speirs,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Airdrie 30 December 1905,Airdrie,League,Home,30,December,1905,1905-06,1-3,Lose,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Johnny Rankine,Alex Speirs,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 1 January 1906,Celtic,League,Away,1,January,1906,1905-06,0-1,Lose,Tom Sinclair,John Walker,Alec Craig,Josiah Gray,James Stark,John May,Johnny Rankine,Robert S McColl,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 2 January 1906,Partick Thistle,League,Home,2,January,1906,1905-06,1-0,Win,Tom Sinclair,John Walker,Alec Craig,David McMillan,James Stark,Josiah Gray,William Kivlichan,Robert Dalrymple,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 3 January 1906,Hearts,Challenge Match,Home,3,January,1906,1905-06,4-1,Win,Ronald Brebner,Alex Fraser,James Croal,Daniel Steel,David McMillan,John Blair,Robert C. Hamilton,Robert Dalrymple,William Kivlichan,Robert S McColl,James Craig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 6 January 1906,Kilmarnock,League,Away,6,January,1906,1905-06,3-1,Win,Tom Sinclair,Alec Craig,John Walker,John May,James Stark,David McMillan,Robert C. Hamilton,Robert Dalrymple,William Kivlichan,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 13 January 1906,St Mirren,League,Away,13,January,1906,1905-06,2-3,Lose,Tom Sinclair,Alex Fraser,Alec Craig,David McMillan,James Stark,John May,Alex Speirs,Robert Dalrymple,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Port Glasgow Athletic 20 January 1906,Port Glasgow Athletic,League,Home,20,January,1906,1905-06,4-0,Win,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,James Stark,John May,Alex Speirs,Robert Dalrymple,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthurlie v Rangers 27 January 1906,Arthurlie,Scottish Cup,Away,27,January,1906,1905-06,7-1,Win,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,James Stark,John May,Alex Speirs,Robert Dalrymple,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 3 February 1906,Third Lanark,League,Away,3,February,1906,1905-06,0-3,Lose,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,David McMillan,John May,Thomas Miller,Robert Dalrymple,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen v Rangers 10 February 1906,Aberdeen,Scottish Cup,Away,10,February,1906,1905-06,3-2,Win,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,James Stark,John May,Alex Speirs,Robert Dalrymple,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 17 February 1906,Dundee,League,Away,17,February,1906,1905-06,1-1,Draw,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,David McMillan,Adam Gourlay,Johnny Rankine,Robert Dalrymple,William Kivlichan,Archie Kyle,James Craig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 3 March 1906,Hibs,League,Home,3,March,1906,1905-06,1-1,Draw,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,James Stark,Adam Gourlay,Alex Speirs,Robert Dalrymple,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Glasgow Athletic v Rangers 10 March 1906,Port Glasgow Athletic,Scottish Cup,Away,10,March,1906,1905-06,0-1,Lose,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,James Stark,John May,Alex Speirs,Robert S McColl,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 17 March 1906,Partick Thistle,League,Away,17,March,1906,1905-06,1-1,Draw,Tom Sinclair,Robert Campbell,Alec Craig,David McMillan,James Stark,Josiah Gray,Finlay Speedie,Alex Speirs,William Kivlichan,Archie Kyle,Johnny Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 21 March 1906,Third Lanark,Glasgow League,Home,21,March,1906,1905-06,0-2,Lose,Tom Sinclair,Unknown or TBC,Alec Craig,Josiah Gray,James Stark,Adam Gourlay,Finlay Speedie,Alex Speirs,William Kivlichan,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Falkirk 24 March 1906,Falkirk,League,Home,24,March,1906,1905-06,3-1,Win,Tom Sinclair,Robert Campbell,Alec Craig,David McMillan,James Stark,Josiah Gray,Johnny Rankine,Alex Speirs,William Kivlichan,John McFie,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 31 March 1906,Celtic,Glasgow League,Away,31,March,1906,1905-06,3-0,Win,Tom Sinclair,Unknown or TBC,Alec Craig,Josiah Gray,James Stark,John May,Johnny Rankine,John McFie,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowdenbeath v Rangers 2 April 1906,Cowdenbeath,Challenge Match,Away,2,April,1906,1905-06,3-0,Win,Tom Sinclair,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Robert S McColl,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 7 April 1906,Hearts,League,Away,7,April,1906,1905-06,2-2,Draw,Tom Sinclair,McGhee,Alec Craig,Josiah Gray,James Stark,Adam Gourlay,Johnny Rankine,Finlay Speedie,Alex Speirs,John McFie,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v West Norwood 13 April 1906,West Norwood,Challenge Match,Home,13,April,1906,1905-06,3-0,Win,Ronald Brebner,Andrew Cochrane,James Croal,Finlay Speedie,Jimmy Speirs,James Galt,Thomson,John McFie,Thomas Ruddiman,Robert S McColl,Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde v Rangers 14 April 1906,Clyde,Glasgow League,Away,14,April,1906,1905-06,0-0,Draw,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,James Stark,Adam Gourlay,Johnny Rankine,John McFie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 16 April 1906,Partick Thistle,Glasgow League,Home,16,April,1906,1905-06,1-0,Win,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,David McMillan,Adam Gourlay,William Kivlichan,John McFie,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 21 April 1906,Dundee,Challenge Match,Away,21,April,1906,1905-06,1-0,Win,Tom Sinclair,Robert Campbell,Alec Craig,Josiah Gray,Finlay Speedie,James Galt,Johnny Rankine,Robert Dalrymple,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Rovers v Rangers 23 April 1906,Albion Rovers,Challenge Match,Away,23,April,1906,1905-06,4-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Border Counties v Rangers 25 April 1906,Border Counties,Challenge Match,Away,25,April,1906,1905-06,6-1,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,John May,Robert Dalrymple,Unknown or TBC,Robert S McColl,Unknown or TBC,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clydebank & District v Rangers 30 April 1906,Clydebank & District,Challenge Match,Away,30,April,1906,1905-06,2-2,Draw,John Watson,Finlay Speedie,Alec Craig,Adam Gourlay,Robert Hamilton,John May,Thomas Sinclair,Robert Dalrymple,Robert Campbell,John McFie,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 1 May 1906,Queen's Park,Glasgow League,Away,1,May,1906,1905-06,3-0,Win,Tom Sinclair,John Walker,Robert Gordon Campbell,Josiah Gray,David McMillan,John May,Unknown or TBC,Alex Speirs,William Kivlichan,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 5 May 1906,Celtic,Glasgow Merchants Charity Cup,Away,5,May,1906,1905-06,5-3,Win,Tom Sinclair,Robert Campbell,Unknown or TBC,Josiah Gray,John May,Alec Craig,Johnny Rankine,John McFie,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 12 May 1906,Queen's Park,Glasgow Merchants Charity Cup,Away,12,May,1906,1905-06,3-2,Win,Tom Sinclair,Robert Campbell,Unknown or TBC,Josiah Gray,John May,Alec Craig,Johnny Rankine,John McFie,Alex Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverness Caledonian v Rangers 14 May 1906,Inverness Caledonian,Challenge Match,Away,14,May,1906,1905-06,4-1,Win,Tom Sinclair,James Jackson,Sutherland,David McMillan,John May,Alec Craig,William Kivlichan,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morayshire S v Rangers 15 May 1906,Morayshire S,Challenge Match,Away,15,May,1906,1905-06,7-1,Win,Tom Sinclair,James Jackson,Sutherland,David McMillan,John May,Alec Craig,William Kivlichan,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 16 August 1906,Celtic,Challenge Match,Home,16,August,1906,1906-07,4-2,Win,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,Josiah Gray,John May,Johnny Rankine,Finlay Speedie,Jimmy Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Falkirk 18 August 1906,Falkirk,League,Home,18,August,1906,1906-07,2-2,Draw,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,Josiah Gray,John May,Johnny Rankine,Finlay Speedie,Jimmy Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 21 August 1906,St Mirren,Challenge Match,Away,21,August,1906,1906-07,3-0,Win,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,Josiah Gray,John May,Finlay Speedie,John McFie,William Kivlichan,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Glasgow Athletic v Rangers 25 August 1906,Port Glasgow Athletic,League,Away,25,August,1906,1906-07,2-0,Win,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,John May,James Galt,Johnny Rankine,John McFie,Jimmy Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Aberdeen 1 September 1906,Aberdeen,League,Home,1,September,1906,1906-07,6-2,Win,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,James Stark,John May,Johnny Rankine,John McFie,Jimmy Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 8 September 1906,Queen's Park,Glasgow Cup,Away,8,September,1906,1906-07,2-2,Draw,Alex Newbigging,Robert Campbell,James Jackson,Finlay Speedie,James Stark,John May,Johnny Rankine,John McFie,Jimmy Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 15 September 1906,Queen's Park,Glasgow Cup,Home,15,September,1906,1906-07,0-3,Lose,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,John May,Josiah Gray,Johnny Rankine,John McFie,Jimmy Speirs,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 22 September 1906,Dundee,League,Away,22,September,1906,1906-07,0-2,Lose,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,James Stark,Josiah Gray,Johnny Rankine,John May,William Kivlichan,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 24 September 1906,Hearts,League,Home,24,September,1906,1906-07,1-1,Draw,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,David Taylor,James Galt,William Kivlichan,John McFie,Willie Henry,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 29 September 1906,Partick Thistle,League,Home,29,September,1906,1906-07,1-2,Lose,Alex Newbigging,Robert Campbell,James Jackson,Colin Mainds,David Taylor,James Galt,William Kivlichan,John McFie,James Hamilton,Archie Kyle,Thomas Ruddiman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 13 October 1906,Kilmarnock,League,Away,13,October,1906,1906-07,5-1,Win,Alex Newbigging,James Jackson,Alec Craig,Josiah Gray,David Taylor,John May,Johnny Rankine,Jimmy Speirs,William Kivlichan,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Morton 20 October 1906,Morton,League,Home,20,October,1906,1906-07,2-0,Win,Alex Newbigging,James Jackson,Alec Craig,Josiah Gray,David Taylor,John May,Johnny Rankine,Jimmy Speirs,William Kivlichan,Archie Kyle,Thomas Ruddiman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
