Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Rovers 28 October 1876,Rovers,Challenge Match,Home,28,October,1876,1876-77,4-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Moses McNeil,Alex Marshall,Willie Dunlop,David Hill,C Roche,W Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Eastern 4 November 1876,Eastern,Challenge Match,Home,4,November,1876,1876-77,7-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Archibald Steel,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Alexandria Athletic 18 November 1876,Alexandria Athletic,Challenge Match,Home,18,November,1876,1876-77,5-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Peter Campbell,Moses McNeil,Willie Dunlop,Alex Marshall,James Watson,David Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 25 November 1876,Queen's Park,Challenge Match,Home,25,November,1876,1876-77,0-1,Lose,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauchline v Rangers 9 December 1876,Mauchline,Scottish Cup,Away,9,December,1876,1876-77,3-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,James Campbell,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick 16 December 1876,Partick,Challenge Match,Home,16,December,1876,1876-77,8-1,Win,John Watt,R Kerr,George Gillespie,Sam Ricketts,Unknown or TBC,Willie Dunlop,David Hill,Alex Marshall,W Primrose,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennox v Rangers 30 December 1876,Lennox,Scottish Cup,Away,30,December,1876,1876-77,3-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,James Watson,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonian v Rangers 6 January 1877,Caledonian,Challenge Match,Away,6,January,1877,1876-77,5-1,Win,John Watt,R Kerr,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,James Campbell,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern v Rangers 13 January 1877,Northern,Challenge Match,Away,13,January,1877,1876-77,4-3,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,James Watson,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Caledonian 12 February 1877,Caledonian,Challenge Match,Home,12,February,1877,1876-77,4-0,Win,John Watt,R Kerr,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
